dataset,mert_layer,saved_layer_index,fold,num_train,num_validation,num_test,train_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1
western,12,12,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.5576036866359447,0.5845941403346544,0.5597767703482103,0.7597765363128491,0.6496201914709806,0.7776388425627384
western,12,12,4,582,200,217,1.0,1.0,1.0,0.72,0.6013490675990676,0.7240821678321678,0.631336405529954,0.6595153592048686,0.6408241401839802
western,12,12,5,586,213,200,1.0,1.0,1.0,0.5586854460093896,0.5845004641093138,0.5667235311880208,0.75,0.6199327731302738,0.7607599519220138
eastern,1,1,1,337,113,113,1.0,1.0,1.0,0.9292035398230089,0.9031301219527251,0.9297459086808396,0.9026548672566371,0.860116682874158,0.900103491212773
eastern,1,1,2,338,112,113,1.0,1.0,1.0,0.8928571428571429,0.8781262715794167,0.8923679668344302,0.911504424778761,0.87571366184323,0.9140554168080408
eastern,1,1,3,339,112,112,1.0,1.0,1.0,0.8928571428571429,0.8503690068576476,0.8920351452117358,0.8571428571428571,0.8209847536137399,0.8580997869790973
eastern,1,1,4,338,113,112,1.0,1.0,1.0,0.831858407079646,0.7925322898229302,0.831038423821457,0.9196428571428571,0.8924141749723145,0.9194582871908453
eastern,1,1,5,337,113,113,1.0,1.0,1.0,0.8849557522123894,0.8293815940157404,0.8808261347976437,0.9026548672566371,0.8767664791183954,0.9011147992369664
eastern,2,2,1,337,113,113,1.0,1.0,1.0,0.9292035398230089,0.8956353999259834,0.9296252457845119,0.8938053097345132,0.8509446882966046,0.8912963559930969
eastern,2,2,2,338,112,113,1.0,1.0,1.0,0.8928571428571429,0.8745488885240439,0.892860909165257,0.9026548672566371,0.8605718520434041,0.9034718539290768
eastern,2,2,3,339,112,112,1.0,1.0,1.0,0.9107142857142857,0.8615067284937081,0.9087326766393335,0.8482142857142857,0.8020422832420598,0.8489406048323881
eastern,2,2,4,338,113,112,1.0,1.0,1.0,0.8495575221238938,0.8102593107496671,0.8523202307653817,0.9017857142857143,0.8723931039720513,0.9009892154628997
eastern,2,2,5,337,113,113,1.0,1.0,1.0,0.8938053097345132,0.8509446882966046,0.8912963559930969,0.8761061946902655,0.8460036857552387,0.878351634257752
eastern,3,3,1,337,113,113,1.0,1.0,1.0,0.9557522123893806,0.9293606122874415,0.9557466779569089,0.9026548672566371,0.8536112835116159,0.9004432694286575
eastern,3,3,2,338,112,113,1.0,1.0,1.0,0.9017857142857143,0.874246067531004,0.9018624180262113,0.9292035398230089,0.8840882397725441,0.928247388469556
